"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Google Scholar ID","PubMed ID","PMC ID","References","Grants","arXiv ID","Updated Date","Primary Category","Categories","Source","Relevance","Abstract"
"Analysis of Momentous Fragmentary Formants in Talaqi-like Neoteric Assessment of Quran Recitation using MFCC Miniature Features of Quranic Syllables","https://scispace.com/papers/analysis-of-momentous-fragmentary-formants-in-talaqi-like-4igr3c0ujw","2021","Journal Article","International Journal of Advanced Computer Science and Applications","Mohamad Zulkefli Adam
Noraimi Shafie
Hafiza Abas
Azizul Azizan","10.14569/IJACSA.2021.0120960","https://scispace.com/pdf/analysis-of-momentous-fragmentary-formants-in-talaqi-like-4igr3c0ujw.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 40/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Analyzes Arabic Quran recitation with MFCC features, meeting core speech processing criteria but lacking ASR/TTS, neural models, extensive evaluation, or multilingual/real-time aspects.","The use of technological speech recognition systems with a variety of approaches and techniques has grown rapidly in a variety of human-machine interaction applications. Further to this, a computerized assessment system to identify errors in reading the Qur'an can be developed to practice the advantages of technology that exist today. Based on Quranic syllable utterances, which contain Tajweed rules that generally consist of Makhraj (articulation process), Sifaat (letter features or pronunciation) and Harakat (pronunciation extension), this paper attempts to present the technological capabilities in realizing Quranic recitation assessment. The transformation of the digital signal of the Quranic voice with the identification of reading errors (based on the Law of Tajweed) is the main focus of this paper. This involves many stages in the process related to the representation of Quranic syllable-based Recitation Speech Signal (QRSS), feature extraction, non-phonetic transcription Quranic Recitation Acoustic Model (QRAM), and threshold classification processes. MFCC-Formants are used in a miniature state that are hybridized with three bands in representing QRSS combined vowels and consonants. A human-guided threshold classification approach is used to assess recitation based on Quranic syllables and threshold classification performance for the low, medium, and high band groups with performances of 87.27%, 86.86%and 86.33%, respectively."
"ArabEmoNet: A Lightweight Hybrid 2D CNN-BiLSTM Model with Attention for Robust Arabic Speech Emotion Recognition","https://arxiv.org/abs/2509.01401v1","2025","Preprint","","Ali Abouzeid
Bilal Elbouardi
Mohamed Maged
Shady Shehata","","https://arxiv.org/pdf/2509.01401v1","Yes","","","","","","","http://arxiv.org/abs/2509.01401v1","2025-09-01T11:51:38Z","cs.SD","cs.SD, cs.CL, eess.AS","arXiv","- **Relevance Score:** 40/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses Arabic speech emotion recognition with lightweight 2D CNN‑BiLSTM; does not address ASR/TTS, nor employ end‑to‑end ASR/TTS models, multilingual or real‑time focus.","Speech emotion recognition is vital for human-computer interaction, particularly for low-resource languages like Arabic, which face challenges due to limited data and research. We introduce ArabEmoNet, a lightweight architecture designed to overcome these limitations and deliver state-of-the-art performance. Unlike previous systems relying on discrete MFCC features and 1D convolutions, which miss nuanced spectro-temporal patterns, ArabEmoNet uses Mel spectrograms processed through 2D convolutions, preserving critical emotional cues often lost in traditional methods. While recent models favor large-scale architectures with millions of parameters, ArabEmoNet achieves superior results with just 1 million parameters, 90 times smaller than HuBERT base and 74 times smaller than Whisper. This efficiency makes it ideal for resource-constrained environments. ArabEmoNet advances Arabic speech emotion recognition, offering exceptional performance and accessibility for real-world applications."
"SPARTA: Speaker Profiling for ARabic TAlk","https://scispace.com/papers/sparta-speaker-profiling-for-arabic-talk-4dtfia0etx","2021","Proceedings Article","","Wael Farhan
Muhy Eddin Za'ter
Qusai Abu Obaidah
Hisham al Bataineh
Zyad Sober
Hussein T. Al-Natsheh","10.23919/FRUCT50888.2021.9347615","https://scispace.com/pdf/sparta-speaker-profiling-for-arabic-talk-4dtfia0etx.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 40/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses speaker profiling on Arabic speech (dialect, gender, emotion) but lacks ASR/TTS, modern neural models, low‑resource methods, extensive evaluation, multilingual or real‑time aspects.","This paper proposes a novel approach to an automatic estimation of three speaker traits from Arabic speech: gender, emotion, and dialect. After showing promising results on different text classification tasks, the multi-task learning (MTL) approach is used in this paper for Arabic speech classification tasks. The dataset was assembled from six publicly available datasets. First, The datasets were edited and thoroughly divided into train, development, and test sets (open to the public), and a benchmark was set for each task and dataset throughout the paper. Then, three different networks were explored: Long Short Term Memory (LSTM), Convolutional Neural Network (CNN), and Fully-Connected Neural Network (FCNN) on five different types of features: two raw features (MFCC and MEL) and three pre-trained vectors (i-vectors, d-vectors, and x-vectors). LSTM and CNN networks were implemented using raw features: MFCC and MEL, wher FCNN was explored on the pre-trained vectors while varying the hyper-parameters of these networks to obtain the best results for each dataset and task. MTL was evaluated against the single task learning (STL) approach for the three tasks and six datasets, in which the MTL and pre-trained vectors almost constantly outperformed STL. All the data and pre-trained models used in this paper are available and can be acquired by the public."
"Mispronunciation detection and diagnosis with articulatory-level feedback generation for non-native arabic speech","https://www.mdpi.com/2227-7390/10/15/2727","2022","Journal Article","Mathematics","Mohammed Algabri
Hassan Mathkour
Mansour Alsulaiman
Mohamed A. Bencherif","10.3390/math10152727","https://scispace.com/pdf/mispronunciation-detection-and-diagnosis-with-articulatory-3dz4m1up.pdf","Yes","32","3k-WCyVfawsJ","","","","","","","","","SciSpace","- **Relevance Score:** 36/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses deep learning to detect mispronunciations and generate articulatory feedback for Arabic learners; leverages synthetic TTS data for augmentation; evaluates on internal metrics; no primary ASR/TTS contribution, limited multilingual or real‑time aspects.","A high-performance versatile computer-assisted pronunciation training (CAPT) system that provides the learner immediate feedback as to whether their pronunciation is correct is very helpful in learning correct pronunciation and allows learners to practice this at any time and with unlimited repetitions, without the presence of an instructor. In this paper, we propose deep learning-based techniques to build a high-performance versatile CAPT system for mispronunciation detection and diagnosis (MDD) and articulatory feedback generation for non-native Arabic learners. The proposed system can locate the error in pronunciation, recognize the mispronounced phonemes, and detect the corresponding articulatory features (AFs), not only in words but even in sentences. We formulate the recognition of phonemes and corresponding AFs as a multi-label object recognition problem, where the objects are the phonemes and their AFs in a spectral image. Moreover, we investigate the use of cutting-edge neural text-to-speech (TTS) technology to generate a new corpus of high-quality speech from predefined text that has the most common substitution errors among Arabic learners. The proposed model and its various enhanced versions achieved excellent results. We compared the performance of the different proposed models with the state-of-the-art end-to-end technique of MDD, and our system had a better performance. In addition, we proposed using fusion between the proposed model and the end-to-end model and obtained a better performance. Our best model achieved a 3.83% phoneme error rate (PER) in the phoneme recognition task, a 70.53% F1-score in the MDD task, and a detection error rate (DER) of 2.6% for the AF detection task."
"Arabic Dialects System using Hidden Markov Models (HMMs)","https://scispace.com/papers/arabic-dialects-system-using-hidden-markov-models-hmms-2gnlzmjg","2022","Journal Article","WSEAS transactions on computers","Zakaria Suliman Zubi
Eman Jibril Idris","10.37394/23205.2022.21.37","https://scispace.com/pdf/arabic-dialects-system-using-hidden-markov-models-hmms-2gnlzmjg.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 32/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Uses HMM‑based dialect identification for Arabic speech, providing modest evaluation on four dialects but no ASR/TTS, neural models, or low‑resource strategies.","The Arabic language has many different dialects and it must be recognized before using the automatic speech recognition (ASR). On the other hand, it is observed in all Arab countries that the standard Arabic language is widely written and used in an official speech, newspapers, public administration, and schools but it is not used in daily conversations instead the dialect is widely spoken in daily life and rarely written. In this paper, we examine the difficult task of properly identifying various Arabic dialects and propose a system developed to identify a set of four regional and modern standard Arabic speeches, based on speech recognition using Hidden Markov Models (HMMs) algorithms. HMMs have become a very popular way to build a speech recognition system. It is set as hidden states and possibilities of transition from one state to another. Due to the similarities and differences between the Arabic dialects, speeches collected from the ADI5 datasets were retrieved from the MGB-3 challenge source. We proposed an Arabic Dialect Identification System called ""Building a System for Arabic Dialects Identification based on Speech Recognition using Hidden Markov Models (HMMs)"" that takes Input as speech utterances and produces output as dialect being spoken. During the training phase, speech utterances from one or more dialects were analyzed to capture the important properties of audio signals in terms of time and frequency. During the testing phase, previously unseen test utterances were utilized to the system, and the system outputs the dialect associated with the model of dialect that most closely matches the test utterance. The proposed model of the system shows promising results of the model for each dialect match."
"Modulation and performance of synchronous demodulation for speech signal detection and dialect intelligibility","https://scispace.com/papers/modulation-and-performance-of-synchronous-demodulation-for-2q7lyz69","2023","Journal Article","Open Engineering","Rafed Sabbar Abbas
Hayder Rafea Kareem Almosa
Yahya J. Harbi","10.1515/eng-2022-0410","https://scispace.com/pdf/modulation-and-performance-of-synchronous-demodulation-for-2q7lyz69.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 30/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Focuses on Arabic dialect modulation/demodulation, not ASR/TTS; lacks neural models, low‑resource methods, standard benchmarks, multilingual or real‑time aspects.","Abstract Speech processing is one of the fundamental operations in computer science and it is particularly difficult to process and distinguish speech in different Arabic dialects when background noise is present. In any nation, communication skills are crucial. Pushing a button is all it takes for the typical person to make phone calls and leave voicemails but for telecommunications experts, the process is very different. We understand how communication actually works. The terms detection and demodulation are commonly used when addressing the full demodulation process. The procedures and circuits are substantially the same under both designations. As the name implies, demodulation is the opposite of modulation, which is applying a signal, such as an audio signal, to a carrier. The demodulation process isolates the output signal from the audio or other signal that was transmitted using amplitude shifts on the carrier. In this study, a system for distinguishing speech signals was developed using modulation and demodulation to transmit speech by extracting it from a variety of factors, the most significant of which is background noise in addition to a wide variety of dialects, which poses a significant challenge in speech processing. The proposed system was applied to a dataset that was created for a group of voices in different dialects, and by using important techniques, the noise accompanying the voices was deleted and then the voices were processed with other techniques such as modulation and demodulation to distinguish the dialect. The system has proven effective by distinguishing dialects."
"Arabic Sign Language Recognition and Generating Arabic Speech Using Convolutional Neural Network","https://scispace.com/papers/arabic-sign-language-recognition-and-generating-arabic-1rne7zsnq5","2020","Journal Article","Wireless Communications and Mobile Computing","M. M. Kamruzzaman","10.1155/2020/3685614","https://scispace.com/pdf/arabic-sign-language-recognition-and-generating-arabic-1rne7zsnq5.pdf","Yes","107","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 30/100 - **Relevance Tag:** Marginally Relevant - **Reasoning:** Generates Arabic speech from sign language using CNN, but primary contribution is sign language recognition, not Arabic speech processing or modern end‑to‑end models.","Sign language encompasses the movement of the arms and hands as a means of communication for people with hearing disabilities. An automated sign recognition system requires two main courses of action: the detection of particular features and the categorization of particular input data. In the past, many approaches for classifying and detecting sign languages have been put forward for improving system performance. However, the recent progress in the computer vision field has geared us towards the further exploration of hand signs/gestures’ recognition with the aid of deep neural networks. The Arabic sign language has witnessed unprecedented research activities to recognize hand signs and gestures using the deep learning model. A vision-based system by applying CNN for the recognition of Arabic hand sign-based letters and translating them into Arabic speech is proposed in this paper. The proposed system will automatically detect hand sign letters and speaks out the result with the Arabic language with a deep learning model. This system gives 90% accuracy to recognize the Arabic hand sign-based letters which assures it as a highly dependable system. The accuracy can be further improved by using more advanced hand gestures recognizing devices such as Leap Motion or Xbox Kinect. After recognizing the Arabic hand sign-based letters, the outcome will be fed to the text into the speech engine which produces the audio of the Arabic language as an output."
"Modern Standard Arabic Speech Corpora: A Systematic Review","https://scispace.com/papers/modern-standard-arabic-speech-corpora-a-systematic-review-1hz9zea7","2023","Journal Article","IEEE Access","","10.1109/access.2023.3282259","https://scispace.com/pdf/modern-standard-arabic-speech-corpora-a-systematic-review-1hz9zea7.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 20/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Reviews Arabic speech corpora and resources; does not present ASR/TTS methods, neural models, or evaluations, thus only loosely related to speech processing focus.","Speech processing applications have become integral components across various domains of modern life. The design and preparation of a reliable recognition system rely heavily on the availability of suitable speech databases. While numerous speech databases exist for English and other languages, the availability of comprehensive resources for Arabic language remains limited. In light of this, we conducted a systematic review aiming to identify, analyse, and classify existing Modern Standard Arabic speech databases. Through our review, we identified 27 publicly available databases and analysed an additional 80 subjective databases. These databases were thoroughly studied, classified based on their characteristics, and subjected to a detailed analysis of research trends in the field. This paper provides a comprehensive discussion on the diverse speech databases developed for various speech processing applications. It sheds light on the purposes and unique characteristics of Arabic speech databases, enabling researchers to easily access suitable resources for their specific applications. The findings of this review contribute to bridging the gap in available Arabic speech databases and serve as a valuable resource for researchers in the field."
"Modern Standard Arabic Speech Corpora: A Systematic Review","https://scispace.com/papers/modern-standard-arabic-speech-corpora-a-systematic-review-1qls054h","","Journal Article","IEEE Access","Ammar Mohammed Ali Alqadasi
Rawad Abdulghafor
Mohd Shahrizal Sunar
Md. Sah Salam","10.1109/ACCESS.2023.3282259","","No","","","","","","","","","","","SciSpace","- **Relevance Score:** 20/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Reviews 27 public Arabic speech corpora, aiding resource discovery but provides no ASR/TTS methods, neural models, evaluations, or real-time implementations.","Speech processing applications have become integral components across various domains of modern life. The design and preparation of a reliable recognition system rely heavily on the availability of suitable speech databases. While numerous speech databases exist for English and other languages, the availability of comprehensive resources for Arabic language remains limited. In light of this, we conducted a systematic review aiming to identify, analyse, and classify existing Modern Standard Arabic speech databases. Through our review, we identified 27 publicly available databases and analysed an additional 80 subjective databases. These databases were thoroughly studied, classified based on their characteristics, and subjected to a detailed analysis of research trends in the field. This paper provides a comprehensive discussion on the diverse speech databases developed for various speech processing applications. It sheds light on the purposes and unique characteristics of Arabic speech databases, enabling researchers to easily access suitable resources for their specific applications. The findings of this review contribute to bridging the gap in available Arabic speech databases and serve as a valuable resource for researchers in the field."
"Automatic Dialect identification of Spoken Arabic Speech using Deep Neural Networks","https://scispace.com/papers/automatic-dialect-identification-of-spoken-arabic-speech-1b30lo0u","2022","Journal Article","International journal of intelligent computing and information sciences","Mona Abdelazim
Wedad Hussein
Nagwa L. Badr","10.21608/ijicis.2022.152368.1207","https://scispace.com/pdf/automatic-dialect-identification-of-spoken-arabic-speech-1b30lo0u.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 20/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Uses CNN/RNN to classify Arabic dialects, addressing speech processing but not ASR/TTS; lacks end-to-end, low‑resource, detailed ASR/TTS evaluation, and real‑time aspects, though it spans multiple Arabic dialects.",": Dialect identification is considered a subtask of the language identification problem and it is thought to be a more complex case due to the linguistic similarity between different dialects of the same language. In this paper, a novel approach is introduced for identifying three of the most used Arabic dialects: Egyptian, Levantine, and Gulf dialects. In this study, four experiments were conducted using different classification approaches that vary from simple classifiers such as Gaussian Naïve Bayes and Support Vector Machines to more complex classifiers using Deep Neural Networks (DNN). A features vector of 13 Mel cepstral coefficients (MFCCs) of the audio signals was used to train the classifiers using a multi-dialect parallel corpus. The experimental results showed that the proposed convolutional neural networks-based classifier has outperformed other classifiers in all three dialects. It has achieved an average improvement of 0.16, 0.19, and 0.19 in the Egyptian dialect, and of 0.07, 0.13, and 0.1 in the Gulf dialect, and of 0.52, 0.35, and 0.49 in the Levantine dialect for the Precision, recall and f1-score metrics respectively."
"Modern Arabic speech corpus for text to speech synthesis","https://ieeexplore.ieee.org/abstract/document/9380606/","2020","Proceedings Article","","Zine Oumaima
Abdelouafi Meziane","10.1109/ICTMOD49425.2020.9380606","","No","5","qOYcU9Uv_KkJ","","","","","","","","","SciSpace","- **Relevance Score:** 20/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Provides a large open Arabic speech corpus, but does not present ASR/TTS methods, neural models, or evaluations; mainly a data resource.","there are hardly any open access large single speaker corpora that could be effectively used to build a Text-to-Speech system, especially for Arabic being a low-resourced language. Thus, the aim of this paper is to present a new open access single speaker corpus. It is by far the largest Arabic speech resource suitable for building text-to-speech systems. The released corpus consists of more than 16-hours audio files aligned with their corresponding phonetic transcription in Buckwalter format, and the orthographic text transcripts representing 81, 000 words fully diactritized. The corpus design was determined by different factors among which is the coverage of the most frequent lemmas, this latter being a common unit in most of the Arabic words. The corpus is freely available for download from http://oujda-nlp-team.net/en/corpora/speech-corpus-1-0/."
"Abjad AI at NADI 2025: CATT-Whisper: Multimodal Diacritic Restoration Using Text and Speech Representations","https://arxiv.org/abs/2510.24247v1","2025","Preprint","","Ahmad Ghannam
Naif Alharthi
Faris Alasmary
Kholood Al Tabash
Shouq Sadah
Lahouari Ghouti","","https://arxiv.org/pdf/2510.24247v1","Yes","","","","","","","http://arxiv.org/abs/2510.24247v1","2025-10-28T09:58:18Z","cs.CL","cs.CL","arXiv","- **Relevance Score:** 20/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Uses speech embeddings for diacritic restoration, not ASR/TTS; employs Whisper and CATT transformer encoders; lacks low-resource, broad evaluation, multilingual or real-time aspects.","In this work, we tackle the Diacritic Restoration (DR) task for Arabic dialectal sentences using a multimodal approach that combines both textual and speech information. We propose a model that represents the text modality using an encoder extracted from our own pre-trained model named CATT. The speech component is handled by the encoder module of the OpenAI Whisper base model. Our solution is designed following two integration strategies. The former consists of fusing the speech tokens with the input at an early stage, where the 1500 frames of the audio segment are averaged over 10 consecutive frames, resulting in 150 speech tokens. To ensure embedding compatibility, these averaged tokens are processed through a linear projection layer prior to merging them with the text tokens. Contextual encoding is guaranteed by the CATT encoder module. The latter strategy relies on cross-attention, where text and speech embeddings are fused. The cross-attention output is then fed to the CATT classification head for token-level diacritic prediction. To further improve model robustness, we randomly deactivate the speech input during training, allowing the model to perform well with or without speech. Our experiments show that the proposed approach achieves a word error rate (WER) of 0.25 and a character error rate (CER) of 0.9 on the development set. On the test set, our model achieved WER and CER scores of 0.55 and 0.13, respectively."
"Continuous Saudi Sign Language Recognition: A Vision Transformer Approach","https://arxiv.org/abs/2509.03467v1","2025","Preprint","","Soukeina Elhassen
Lama Al Khuzayem
Areej Alhothali
Ohoud Alzamzami
Nahed Alowaidi","","https://arxiv.org/pdf/2509.03467v1","Yes","","","","","","","http://arxiv.org/abs/2509.03467v1","2025-09-03T16:44:08Z","cs.CL","cs.CL, cs.AI","arXiv","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** The paper addresses continuous Saudi Sign Language recognition using vision transformers, not Arabic speech processing, ASR, or TTS, making it irrelevant to all listed criteria.","Sign language (SL) is an essential communication form for hearing-impaired and deaf people, enabling engagement within the broader society. Despite its significance, limited public awareness of SL often leads to inequitable access to educational and professional opportunities, thereby contributing to social exclusion, particularly in Saudi Arabia, where over 84,000 individuals depend on Saudi Sign Language (SSL) as their primary form of communication. Although certain technological approaches have helped to improve communication for individuals with hearing impairments, there continues to be an urgent requirement for more precise and dependable translation techniques, especially for Arabic sign language variants like SSL. Most state-of-the-art solutions have primarily focused on non-Arabic sign languages, resulting in a considerable absence of resources dedicated to Arabic sign language, specifically SSL. The complexity of the Arabic language and the prevalence of isolated sign language datasets that concentrate on individual words instead of continuous speech contribute to this issue. To address this gap, our research represents an important step in developing SSL resources. To address this, we introduce the first continuous Saudi Sign Language dataset called KAU-CSSL, focusing on complete sentences to facilitate further research and enable sophisticated recognition systems for SSL recognition and translation. Additionally, we propose a transformer-based model, utilizing a pretrained ResNet-18 for spatial feature extraction and a Transformer Encoder with Bidirectional LSTM for temporal dependencies, achieving 99.02\% accuracy at signer dependent mode and 77.71\% accuracy at signer independent mode. This development leads the way to not only improving communication tools for the SSL community but also making a substantial contribution to the wider field of sign language."
"A Panoramic Survey of Natural Language Processing in the Arab World","https://scispace.com/papers/a-panoramic-survey-of-natural-language-processing-in-the-3478v5o30l","2020","Posted Content","arXiv: Computation and Language","Kareem Darwish
Nizar Habash
Mourad Abbas
Hend S. Al-Khalifa
Huseein T. Al-Natsheh
Samhaa R. El-Beltagy
Houda Bouamor
Karim Bouzoubaa
Violetta Cavalli-Sforza
Wassim El-Hajj
Mustafa Jarrar
Hamdy Mubarak","","https://scispace.com/pdf/a-panoramic-survey-of-natural-language-processing-in-the-3478v5o30l.pdf","Yes","65","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** The paper surveys Arabic text-oriented NLP (IR, QA, dialogue) and lacks any focus on speech processing, ASR, TTS, or related neural and evaluation aspects.","The term natural language refers to any system of symbolic communication (spoken, signed or written) without intentional human planning and design. This distinguishes natural languages such as Arabic and Japanese from artificially constructed languages such as Esperanto or Python. Natural language processing (NLP) is the sub-field of artificial intelligence (AI) focused on modeling natural languages to build applications such as speech recognition and synthesis, machine translation, optical character recognition (OCR), sentiment analysis (SA), question answering, dialogue systems, etc. NLP is a highly interdisciplinary field with connections to computer science, linguistics, cognitive science, psychology, mathematics and others. Some of the earliest AI applications were in NLP (e.g., machine translation); and the last decade (2010-2020) in particular has witnessed an incredible increase in quality, matched with a rise in public awareness, use, and expectations of what may have seemed like science fiction in the past. NLP researchers pride themselves on developing language independent models and tools that can be applied to all human languages, e.g. machine translation systems can be built for a variety of languages using the same basic mechanisms and models. However, the reality is that some languages do get more attention (e.g., English and Chinese) than others (e.g., Hindi and Swahili). Arabic, the primary language of the Arab world and the religious language of millions of non-Arab Muslims is somewhere in the middle of this continuum. Though Arabic NLP has many challenges, it has seen many successes and developments. Next we discuss Arabic's main challenges as a necessary background, and we present a brief history of Arabic NLP. We then survey a number of its research areas, and close with a critical discussion of the future of Arabic NLP."
"Arabic Extractive Summarization Using Pre-Trained Models","https://scispace.com/papers/arabic-extractive-summarization-using-pre-trained-models-4ffbg1t02l","2023","Journal Article","Deleted Journal","Yasmin Einieh
Amal Almansour
Amani Jamal","10.4197/comp.12-1.6","https://scispace.com/pdf/arabic-extractive-summarization-using-pre-trained-models-4ffbg1t02l.pdf","No","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Focuses on Arabic text extractive summarization, not speech processing, ASR, TTS, or related neural speech architectures.","Automatic Text Summarization (ATS) is a crucial area of study in Natural Language Processing (NLP) due to the vast amount of online information available. Extractive summarization, which involves selecting important sentences from the original document without altering their wording, is one approach to generating summaries. While many methods for Arabic text summarization exist, deep learning applications are still in their early stages, and there is a shortage of available datasets. Unlike English, there have been fewer experiments conducted on Arabic language summarization due to its unique characteristics. This study aims to fill this gap by experimenting with several models for summarizing Arabic text, including QARiB, AraELECTRA, and AraBERT-base models, all trained using the KALIMA dataset. The AraBERT model performed exceptionally well, achieving high scores of 0.44, 0.26, and 0.44 on the ROUGE-1, ROUGE-2, and ROUGE-L measures, respectively."
"Tibyan Automated Arabic Correction Using Machine-Learning in Detecting Syntactical Mistakes","https://scispace.com/papers/tibyan-automated-arabic-correction-using-machine-learning-in-i7qxhbndka","2020","","","Ashwag O. Maghraby
Nida N. Khan
Hosnia A. Ahmed
Ghufran N. Brohi
Hind F. Assouli
Jawaher S. Melibari","","https://scispace.com/pdf/tibyan-automated-arabic-correction-using-machine-learning-in-i7qxhbndka.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** The work targets textual Arabic grammar correction using SVM and rule‑based methods, without involving spoken Arabic processing, ASR/TTS, neural models, or speech‑corpus evaluation.",""
"Arabic Topic Identification: A Decade Scoping Review","https://scispace.com/papers/arabic-topic-identification-a-decade-scoping-review-2d10kwbjbu","2021","Journal Article","","Anoual El Kah
Imad Zeroual","10.1051/E3SCONF/202129701058","https://scispace.com/pdf/arabic-topic-identification-a-decade-scoping-review-2d10kwbjbu.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Focuses on Arabic text topic identification, not on spoken Arabic processing, recognition, or synthesis.","Arabic topic identification is a part of text classification that aims to assign a given text a set of pre-defined classes (i.e., topics) based on its content and extracted features. This task can be performed using rule-based methods or data-driven approaches. These latter gained more popularity since they require much less human effort to accurately classify a large number of documents. Due to the tremendous growth of Web contents primarily in news websites and social media, topic identification had received a great deal of attention over the last years, and has become a cornerstone of both search engines and information retrieval. The Arabic language is the fourth most used language on the web and records the highest growth in the last two decades (2000–2020). Based on these facts currently available, it seems fair to look closer at the advancements in the Arabic topic identification in the last decade. To this end, we performed the first of its kind scoping review that addresses recent studies in the field of Arabic topic identification that follows the PRISMA-ScR guidelines. This review is based on various online bibliographic databases (e.g., Springer, ScienceDirect, and IEEE Xplore) and datasets search engines (e.g., Google Dataset Search)."
"Arabic natural language processing for Qur’anic research: a systematic review","https://scispace.com/papers/arabic-natural-language-processing-for-quranic-research-a-2gnhsg95","2022","Journal Article","Artificial Intelligence Review","Michel Tsamados","10.1007/s10462-022-10313-2","https://scispace.com/pdf/arabic-natural-language-processing-for-quranic-research-a-2gnhsg95.pdf","Yes","","","","","","","","","","","SciSpace Full Text","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Reviews Arabic text NLP for Qur’anic research; covers morphology and NER, with no speech, ASR, TTS, or related neural/evaluation aspects.","Abstract The Qur’an is a fourteen centuries old divine book in Arabic language that is read and followed by almost two billion Muslims globally as their sacred religious text. With the rise of Islam, the Arabic language gained popularity and became the lingua franca for large swaths of the old world. Devout Muslims read the Qur’an daily seeking guidance and comfort. Though the Qur’an, as a text, is short, there is a huge volume of supporting work filling tens of thousands of volumes, e.g., commentaries, exegesis, etc. Recently, there has been a renewed interest in such religious texts by non-specialists. Many of which were fueled by the recent advances in computational and natural language processing (NLP) techniques. These techniques help the development of tools that benefit common people to gain knowledge easily. This paper surveys the different efforts in the field of Qur’anic NLP, serving as a synthesized compendium of works (tools, data sets, approaches) covering the gamut from automated morphological analysis to correction of Qur’anic recitation via speech recognition. Multiple approaches are discussed for several tasks, where appropriate. Finally, we outline future research directions in this field."
"EverydayMMQA: A Multilingual and Multimodal Framework for Culturally Grounded Spoken Visual QA","https://arxiv.org/abs/2510.06371v1","2025","Preprint","","Firoj Alam
Ali Ezzat Shahroor
Md. Arid Hasan
Zien Sheikh Ali
Hunzalah Hassan Bhatti
Mohamed Bayan Kmainasi
Shammur Absar Chowdhury
Basel Mousi
Fahim Dalvi
Nadir Durrani
Natasa Milic-Frayling","","https://arxiv.org/pdf/2510.06371v1","Yes","","","","","","","http://arxiv.org/abs/2510.06371v1","2025-10-07T18:37:32Z","cs.CL","cs.CL, cs.AI","arXiv","- **Relevance Score:** 0/100 - **Relevance Tag:** Not Relevant - **Reasoning:** Uses Arabic speech only as part of a multimodal QA dataset; does not target Arabic ASR/TTS, neural architectures, or detailed speech evaluations.","Large-scale multimodal models achieve strong results on tasks like Visual Question Answering (VQA), but they often fail when queries require culturally grounded, everyday knowledge, particularly in low-resource and underrepresented languages. To bridge this gap, we introduce Everyday Multimodal and Multilingual QA (EverydayMMQA), a framework for creating large-scale, culturally-grounded datasets for spoken and visual question answering (SVQA). Using this framework, we developed OASIS, a multimodal dataset integrating speech, images, and text. With over ~0.92M images and 14.8M QA pairs, OASIS contains 3.7M spoken questions, enabling four unique input combinations: speech-only, text-only, speech+image, and text+image. Focused on English and Arabic varieties, 18 countries, the dataset content is curated to reflect diverse, real-world situations. OASIS tests models on tasks beyond object recognition that involve pragmatic, commonsense, and culturally aware reasoning. We benchmarked four closed-source models, three open-source models, and one fine-tuned model. EverydayMMQA and OASIS together provide a benchmark and training dataset for building multimodal LLMs for a comprehensive set of everyday tasks within cultural contexts. The framework and dataset will be made publicly available to the community."
